Fatal,Injured,LightingCondition,RoadSurface,latitude,longitude
0,1,Daylight,Dry,37.8069202,-122.4750308
0,1,Daylight,Dry,37.7802964,-122.4033634
0,1,Daylight,Dry,37.7796485,-122.4933022
0,1,Daylight,Dry,37.7802017,-122.3910494
0,1,Daylight,Dry,37.77948749999999,-122.4023551
0,1,Daylight,Dry,37.7603665,-122.417029
0,1,Daylight,Dry,37.787856,-122.44211
0,0,Daylight,Dry,37.7809993,-122.408667
0,1,Daylight,Dry,37.7515491,-122.4951803
0,1,Daylight,Dry,37.7587728,-122.4168824
0,1,Daylight,Dry,37.7894253,-122.3970158
0,1,Daylight,Dry,37.7876149,-122.4065812
0,1,Daylight,Dry,37.7364245,-122.3902036
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.7685411,-122.4156536
0,1,Daylight,Dry,37.7524332,-122.4151766
0,1,Daylight,Dry,37.7705053,-122.4798826
0,1,Daylight,Dry,37.7680117,-122.4244044
0,1,Daylight,Dry,37.7605001,-122.414854
0,2,Daylight,Dry,37.7616996,-122.4215856
0,1,Dark - street lights,Dry,37.7720926,-122.445722
0,1,Daylight,Dry,37.778214,-122.483525
0,1,Daylight,Dry,37.7774362,-122.4486893
0,1,Daylight,Dry,37.76179279999999,-122.4201176
0,1,Daylight,Dry,37.7527948,-122.4091354
0,1,Daylight,Dry,37.7395905,-122.4070669
0,1,Daylight,Dry,37.7749295,-122.4194155
0,2,Daylight,Dry,37.7797645,-122.4071059
0,1,Daylight,Dry,37.7582741,-122.4437999
0,1,Daylight,Dry,37.7649061,-122.4218982
0,1,Daylight,Dry,37.7710108,-122.4761681
0,1,Daylight,Dry,37.780629,-122.4237602
0,1,Daylight,Dry,37.7873278,-122.3944491
0,1,Daylight,Dry,37.8053499,-122.4236702
0,1,Daylight,Dry,37.7854867,-122.4061965
0,1,Daylight,Dry,37.752992,-122.406342
0,1,Daylight,Dry,37.7899721,-122.3942479
0,1,Dark - street lights,Dry,37.7959187,-122.4217837
0,1,Daylight,Dry,37.7839698,-122.4126179
0,1,Daylight,Dry,37.7141001,-122.4522554
0,1,Dark - street lights,Dry,37.772204,-122.4372752
0,1,Daylight,Dry,37.8058106,-122.4422274
0,1,Daylight,Dry,37.7857218,-122.4058947
0,1,Daylight,Dry,37.7590215,-122.4259512
0,1,Daylight,Dry,37.7545666,-122.4065016
0,1,Daylight,Dry,37.7524332,-122.4151766
0,1,Daylight,Dry,37.793527,-122.396797
0,1,Dusk - dawn,Dry,37.7696115,-122.4133281
0,1,Daylight,Dry,37.710092,-122.4245506
0,1,Daylight,Dry,37.75940689999999,-122.486512
0,1,Daylight,Dry,37.770929,-122.4149859
0,1,Daylight,,37.764304,-122.4330863
0,0,Dark - street lights,Dry,37.7482566,-122.411481
0,1,Dark - street lights,Dry,37.773562,-122.4341048
